target,station,city,unit,win_mkt,event_slug,event_id,rules_station_mentioned
2026-04-15,KDAL,dallas,F,78-79°F,highest-temperature-in-dallas-on-april-15-2026,373588,1
2026-04-15,KHOU,houston,F,82-83°F,highest-temperature-in-houston-on-april-15-2026,373612,1
2026-04-15,KLAX,los-angeles,F,68-69°F,highest-temperature-in-los-angeles-on-april-15-2026,373613,1
2026-04-15,KMIA,miami,F,80-81°F,highest-temperature-in-miami-on-april-15-2026,373590,1
2026-04-15,KSFO,san-francisco,F,62-63°F,highest-temperature-in-san-francisco-on-april-15-2026,373614,1
2026-04-15,LTAC,ankara,C,20°C,highest-temperature-in-ankara-on-april-15-2026,373592,1
2026-04-15,MMMX,mexico-city,C,19°C or higher,highest-temperature-in-mexico-city-on-april-15-2026,373617,1
2026-04-15,NZWN,wellington,C,18°C,highest-temperature-in-wellington-on-april-15-2026,373593,1
2026-04-15,SAEZ,buenos-aires,C,23°C,highest-temperature-in-buenos-aires-on-april-15-2026,373583,1
2026-04-15,SBGR,sao-paulo,C,27°C,highest-temperature-in-sao-paulo-on-april-15-2026,373582,1
2026-04-15,WMKK,kuala-lumpur,C,32°C,highest-temperature-in-kuala-lumpur-on-april-15-2026,373622,1
2026-04-15,WSSS,singapore,C,32°C,highest-temperature-in-singapore-on-april-15-2026,373600,1
2026-04-15,ZGSZ,shenzhen,C,30°C,highest-temperature-in-shenzhen-on-april-15-2026,373609,1
2026-04-16,CYYZ,toronto,C,21°C,highest-temperature-in-toronto-on-april-16-2026,379789,1
2026-04-16,EFHK,helsinki,C,12°C,highest-temperature-in-helsinki-on-april-16-2026,379824,1
2026-04-16,KATL,atlanta,F,84-85°F,highest-temperature-in-atlanta-on-april-16-2026,379793,1
2026-04-16,KAUS,austin,F,88-89°F,highest-temperature-in-austin-on-april-16-2026,379814,1
2026-04-16,KDAL,dallas,F,84-85°F,highest-temperature-in-dallas-on-april-16-2026,379792,1
2026-04-16,KHOU,houston,F,84-85°F,highest-temperature-in-houston-on-april-16-2026,379816,1
2026-04-16,KLAX,los-angeles,F,68-69°F,highest-temperature-in-los-angeles-on-april-16-2026,379817,1
2026-04-16,KMIA,miami,F,80-81°F,highest-temperature-in-miami-on-april-16-2026,379794,1
2026-04-16,KSFO,san-francisco,F,66-67°F,highest-temperature-in-san-francisco-on-april-16-2026,379818,1
2026-04-16,LTAC,ankara,C,21°C,highest-temperature-in-ankara-on-april-16-2026,379796,1
2026-04-16,MMMX,mexico-city,C,28°C,highest-temperature-in-mexico-city-on-april-16-2026,379821,1
2026-04-16,NZWN,wellington,C,18°C,highest-temperature-in-wellington-on-april-16-2026,379797,1
2026-04-16,SAEZ,buenos-aires,C,24°C,highest-temperature-in-buenos-aires-on-april-16-2026,379787,1
2026-04-16,SBGR,sao-paulo,C,28°C,highest-temperature-in-sao-paulo-on-april-16-2026,379786,1
2026-04-16,WMKK,kuala-lumpur,C,34°C,highest-temperature-in-kuala-lumpur-on-april-16-2026,379826,1
2026-04-16,WSSS,singapore,C,33°C,highest-temperature-in-singapore-on-april-16-2026,379804,1
2026-04-16,ZGSZ,shenzhen,C,31°C,highest-temperature-in-shenzhen-on-april-16-2026,379813,1
2026-04-17,CYYZ,toronto,C,16°C,highest-temperature-in-toronto-on-april-17-2026,380626,1
2026-04-17,EFHK,helsinki,C,15°C,highest-temperature-in-helsinki-on-april-17-2026,380652,1
2026-04-17,KATL,atlanta,F,88-89°F,highest-temperature-in-atlanta-on-april-17-2026,380628,1
2026-04-17,KAUS,austin,F,88-89°F,highest-temperature-in-austin-on-april-17-2026,381510,1
2026-04-17,KDAL,dallas,F,82-83°F,highest-temperature-in-dallas-on-april-17-2026,381508,1
2026-04-17,KHOU,houston,F,82-83°F,highest-temperature-in-houston-on-april-17-2026,381512,1
2026-04-17,KLAX,los-angeles,F,72-73°F,highest-temperature-in-los-angeles-on-april-17-2026,381513,1
2026-04-17,KMIA,miami,F,84-85°F,highest-temperature-in-miami-on-april-17-2026,380629,1
2026-04-17,KSFO,san-francisco,F,68-69°F,highest-temperature-in-san-francisco-on-april-17-2026,381514,1
2026-04-17,LTAC,ankara,C,20°C,highest-temperature-in-ankara-on-april-17-2026,380630,1
2026-04-17,MMMX,mexico-city,C,29°C,highest-temperature-in-mexico-city-on-april-17-2026,381515,1
2026-04-17,NZWN,wellington,C,18°C,highest-temperature-in-wellington-on-april-17-2026,380631,1
2026-04-17,SAEZ,buenos-aires,C,25°C,highest-temperature-in-buenos-aires-on-april-17-2026,380624,1
2026-04-17,SBGR,sao-paulo,C,30°C,highest-temperature-in-sao-paulo-on-april-17-2026,380623,1
2026-04-17,WMKK,kuala-lumpur,C,32°C,highest-temperature-in-kuala-lumpur-on-april-17-2026,380653,1
2026-04-17,WSSS,singapore,C,33°C,highest-temperature-in-singapore-on-april-17-2026,380638,1
2026-04-17,ZGSZ,shenzhen,C,29°C,highest-temperature-in-shenzhen-on-april-17-2026,380647,1
2026-04-18,CYYZ,toronto,C,20°C,highest-temperature-in-toronto-on-april-18-2026,384017,1
2026-04-18,EFHK,helsinki,C,12°C,highest-temperature-in-helsinki-on-april-18-2026,384052,1
2026-04-18,KATL,atlanta,F,82-83°F,highest-temperature-in-atlanta-on-april-18-2026,384021,1
2026-04-18,KAUS,austin,F,72-73°F,highest-temperature-in-austin-on-april-18-2026,384042,1
2026-04-18,KDAL,dallas,F,74-75°F,highest-temperature-in-dallas-on-april-18-2026,384020,1
2026-04-18,KHOU,houston,F,84°F or higher,highest-temperature-in-houston-on-april-18-2026,384044,1
2026-04-18,KLAX,los-angeles,F,72°F or higher,highest-temperature-in-los-angeles-on-april-18-2026,384045,1
2026-04-18,KMIA,miami,F,84-85°F,highest-temperature-in-miami-on-april-18-2026,384022,1
2026-04-18,KSFO,san-francisco,F,68°F or higher,highest-temperature-in-san-francisco-on-april-18-2026,384046,1
2026-04-18,LTAC,ankara,C,14°C,highest-temperature-in-ankara-on-april-18-2026,384024,1
2026-04-18,MMMX,mexico-city,C,26°C or higher,highest-temperature-in-mexico-city-on-april-18-2026,384049,1
2026-04-18,NZWN,wellington,C,18°C,highest-temperature-in-wellington-on-april-18-2026,384025,1
2026-04-18,SAEZ,buenos-aires,C,28°C,highest-temperature-in-buenos-aires-on-april-18-2026,384015,1
2026-04-18,SBGR,sao-paulo,C,30°C,highest-temperature-in-sao-paulo-on-april-18-2026,384014,1
2026-04-18,WMKK,kuala-lumpur,C,32°C,highest-temperature-in-kuala-lumpur-on-april-18-2026,384054,1
2026-04-18,WSSS,singapore,C,34°C,highest-temperature-in-singapore-on-april-18-2026,384032,1
2026-04-18,ZGSZ,shenzhen,C,30°C,highest-temperature-in-shenzhen-on-april-18-2026,384041,1
2026-04-19,CYYZ,toronto,C,6°C,highest-temperature-in-toronto-on-april-19-2026,387423,1
2026-04-19,EFHK,helsinki,C,10°C,highest-temperature-in-helsinki-on-april-19-2026,387458,1
2026-04-19,KATL,atlanta,F,70-71°F,highest-temperature-in-atlanta-on-april-19-2026,387427,1
2026-04-19,KAUS,austin,F,70-71°F,highest-temperature-in-austin-on-april-19-2026,387448,1
2026-04-19,KDAL,dallas,F,72-73°F,highest-temperature-in-dallas-on-april-19-2026,387426,1
2026-04-19,KHOU,houston,F,70-71°F,highest-temperature-in-houston-on-april-19-2026,387450,1
2026-04-19,KLAX,los-angeles,F,70-71°F,highest-temperature-in-los-angeles-on-april-19-2026,387451,1
2026-04-19,KMIA,miami,F,88-89°F,highest-temperature-in-miami-on-april-19-2026,387428,1
2026-04-19,KSFO,san-francisco,F,70°F or higher,highest-temperature-in-san-francisco-on-april-19-2026,387452,1
2026-04-19,LTAC,ankara,C,10°C,highest-temperature-in-ankara-on-april-19-2026,387430,1
2026-04-19,MMMX,mexico-city,C,25°C,highest-temperature-in-mexico-city-on-april-19-2026,387455,1
2026-04-19,NZWN,wellington,C,16°C,highest-temperature-in-wellington-on-april-19-2026,387431,1
2026-04-19,SAEZ,buenos-aires,C,26°C,highest-temperature-in-buenos-aires-on-april-19-2026,387421,1
2026-04-19,SBGR,sao-paulo,C,28°C,highest-temperature-in-sao-paulo-on-april-19-2026,387420,1
2026-04-19,WMKK,kuala-lumpur,C,30°C,highest-temperature-in-kuala-lumpur-on-april-19-2026,387460,1
2026-04-19,WSSS,singapore,C,32°C,highest-temperature-in-singapore-on-april-19-2026,387438,1
2026-04-19,ZGSZ,shenzhen,C,29°C,highest-temperature-in-shenzhen-on-april-19-2026,387447,1
2026-04-20,CYYZ,toronto,C,5°C,highest-temperature-in-toronto-on-april-20-2026,390812,1
2026-04-20,EFHK,helsinki,C,13°C,highest-temperature-in-helsinki-on-april-20-2026,390847,1
2026-04-20,KATL,atlanta,F,76-77°F,highest-temperature-in-atlanta-on-april-20-2026,390816,1
2026-04-20,KAUS,austin,F,69°F or below,highest-temperature-in-austin-on-april-20-2026,390837,1
2026-04-20,KDAL,dallas,F,71°F or below,highest-temperature-in-dallas-on-april-20-2026,390815,1
2026-04-20,KHOU,houston,F,70-71°F,highest-temperature-in-houston-on-april-20-2026,390839,1
2026-04-20,KLAX,los-angeles,F,70-71°F,highest-temperature-in-los-angeles-on-april-20-2026,390840,1
2026-04-20,KMIA,miami,F,86-87°F,highest-temperature-in-miami-on-april-20-2026,390817,1
2026-04-20,KSFO,san-francisco,F,64-65°F,highest-temperature-in-san-francisco-on-april-20-2026,390841,1
2026-04-20,LTAC,ankara,C,14°C,highest-temperature-in-ankara-on-april-20-2026,390819,1
2026-04-20,MMMX,mexico-city,C,24°C,highest-temperature-in-mexico-city-on-april-20-2026,390844,1
2026-04-20,NZWN,wellington,C,14°C,highest-temperature-in-wellington-on-april-20-2026,390820,1
2026-04-20,SAEZ,buenos-aires,C,19°C,highest-temperature-in-buenos-aires-on-april-20-2026,390810,1
2026-04-20,SBGR,sao-paulo,C,26°C,highest-temperature-in-sao-paulo-on-april-20-2026,390809,1
2026-04-20,WMKK,kuala-lumpur,C,33°C,highest-temperature-in-kuala-lumpur-on-april-20-2026,390849,1
2026-04-20,WSSS,singapore,C,32°C or higher,highest-temperature-in-singapore-on-april-20-2026,390827,1
2026-04-20,ZGSZ,shenzhen,C,30°C,highest-temperature-in-shenzhen-on-april-20-2026,390836,1
2026-04-21,CYYZ,toronto,C,11°C,highest-temperature-in-toronto-on-april-21-2026,394284,1
2026-04-21,EFHK,helsinki,C,15°C,highest-temperature-in-helsinki-on-april-21-2026,394319,1
2026-04-21,KATL,atlanta,F,78-79°F,highest-temperature-in-atlanta-on-april-21-2026,394288,1
2026-04-21,KAUS,austin,F,62°F or higher,highest-temperature-in-austin-on-april-21-2026,394309,1
2026-04-21,KDAL,dallas,F,62-63°F,highest-temperature-in-dallas-on-april-21-2026,394287,1
2026-04-21,KHOU,houston,F,68-69°F,highest-temperature-in-houston-on-april-21-2026,394311,1
2026-04-21,KLAX,los-angeles,F,70-71°F,highest-temperature-in-los-angeles-on-april-21-2026,394312,1
2026-04-21,KMIA,miami,F,80-81°F,highest-temperature-in-miami-on-april-21-2026,394289,1
2026-04-21,KSFO,san-francisco,F,62-63°F,highest-temperature-in-san-francisco-on-april-21-2026,394313,1
2026-04-21,LTAC,ankara,C,17°C,highest-temperature-in-ankara-on-april-21-2026,394291,1
2026-04-21,MMMX,mexico-city,C,27°C or higher,highest-temperature-in-mexico-city-on-april-21-2026,394316,1
2026-04-21,NZWN,wellington,C,12°C,highest-temperature-in-wellington-on-april-21-2026,394292,1
2026-04-21,SAEZ,buenos-aires,C,23°C or higher,highest-temperature-in-buenos-aires-on-april-21-2026,394282,1
2026-04-21,SBGR,sao-paulo,C,26°C,highest-temperature-in-sao-paulo-on-april-21-2026,394281,1
2026-04-21,WMKK,kuala-lumpur,C,29°C,highest-temperature-in-kuala-lumpur-on-april-21-2026,394321,1
2026-04-21,WSSS,singapore,C,31°C,highest-temperature-in-singapore-on-april-21-2026,394299,1
2026-04-21,ZGSZ,shenzhen,C,29°C,highest-temperature-in-shenzhen-on-april-21-2026,394308,1
2026-04-22,CYYZ,toronto,C,18°C,highest-temperature-in-toronto-on-april-22-2026,397977,1
2026-04-22,EFHK,helsinki,C,11°C,highest-temperature-in-helsinki-on-april-22-2026,398012,1
2026-04-22,KATL,atlanta,F,82-83°F,highest-temperature-in-atlanta-on-april-22-2026,397981,1
2026-04-22,KAUS,austin,F,74°F or higher,highest-temperature-in-austin-on-april-22-2026,398002,1
2026-04-22,KDAL,dallas,F,72°F or higher,highest-temperature-in-dallas-on-april-22-2026,397980,1
2026-04-22,KHOU,houston,F,76°F or higher,highest-temperature-in-houston-on-april-22-2026,398004,1
2026-04-22,KLAX,los-angeles,F,66-67°F,highest-temperature-in-los-angeles-on-april-22-2026,398005,1
2026-04-22,KMIA,miami,F,78-79°F,highest-temperature-in-miami-on-april-22-2026,397982,1
2026-04-22,KSFO,san-francisco,F,64-65°F,highest-temperature-in-san-francisco-on-april-22-2026,398006,1
2026-04-22,LTAC,ankara,C,17°C,highest-temperature-in-ankara-on-april-22-2026,397984,1
2026-04-22,MMMX,mexico-city,C,23°C or higher,highest-temperature-in-mexico-city-on-april-22-2026,398009,1
2026-04-22,NZWN,wellington,C,12°C,highest-temperature-in-wellington-on-april-22-2026,397985,1
2026-04-22,SAEZ,buenos-aires,C,20°C,highest-temperature-in-buenos-aires-on-april-22-2026,397975,1
2026-04-22,SBGR,sao-paulo,C,26°C,highest-temperature-in-sao-paulo-on-april-22-2026,397974,1
2026-04-22,WMKK,kuala-lumpur,C,32°C,highest-temperature-in-kuala-lumpur-on-april-22-2026,398014,1
2026-04-22,WSSS,singapore,C,33°C,highest-temperature-in-singapore-on-april-22-2026,397992,1
2026-04-22,ZGSZ,shenzhen,C,31°C,highest-temperature-in-shenzhen-on-april-22-2026,398001,1
2026-04-23,CYYZ,toronto,C,18°C,highest-temperature-in-toronto-on-april-23-2026,401672,1
2026-04-23,EFHK,helsinki,C,9°C,highest-temperature-in-helsinki-on-april-23-2026,401707,1
2026-04-23,KATL,atlanta,F,82-83°F,highest-temperature-in-atlanta-on-april-23-2026,401676,1
2026-04-23,KAUS,austin,F,70°F or higher,highest-temperature-in-austin-on-april-23-2026,401697,1
2026-04-23,KDAL,dallas,F,76°F or higher,highest-temperature-in-dallas-on-april-23-2026,401675,1
2026-04-23,KHOU,houston,F,76°F or higher,highest-temperature-in-houston-on-april-23-2026,401699,1
2026-04-23,KLAX,los-angeles,F,70-71°F,highest-temperature-in-los-angeles-on-april-23-2026,401700,1
2026-04-23,KMIA,miami,F,78-79°F,highest-temperature-in-miami-on-april-23-2026,401677,1
2026-04-23,KSFO,san-francisco,F,66°F or higher,highest-temperature-in-san-francisco-on-april-23-2026,401701,1
2026-04-23,LTAC,ankara,C,8°C,highest-temperature-in-ankara-on-april-23-2026,401679,1
2026-04-23,MMMX,mexico-city,C,24°C or higher,highest-temperature-in-mexico-city-on-april-23-2026,401704,1
2026-04-23,NZWN,wellington,C,14°C,highest-temperature-in-wellington-on-april-23-2026,401680,1
2026-04-23,SAEZ,buenos-aires,C,25°C,highest-temperature-in-buenos-aires-on-april-23-2026,401670,1
2026-04-23,SBGR,sao-paulo,C,27°C,highest-temperature-in-sao-paulo-on-april-23-2026,401669,1
2026-04-23,WMKK,kuala-lumpur,C,34°C,highest-temperature-in-kuala-lumpur-on-april-23-2026,401709,1
2026-04-23,WSSS,singapore,C,34°C or higher,highest-temperature-in-singapore-on-april-23-2026,401687,1
2026-04-23,ZGSZ,shenzhen,C,28°C,highest-temperature-in-shenzhen-on-april-23-2026,401696,1
2026-04-24,CYYZ,toronto,C,11°C,highest-temperature-in-toronto-on-april-24-2026,405192,1
2026-04-24,EFHK,helsinki,C,12°C,highest-temperature-in-helsinki-on-april-24-2026,405227,1
2026-04-24,KATL,atlanta,F,84-85°F,highest-temperature-in-atlanta-on-april-24-2026,405196,1
2026-04-24,KAUS,austin,F,74°F or higher,highest-temperature-in-austin-on-april-24-2026,405217,1
2026-04-24,KDAL,dallas,F,74°F or higher,highest-temperature-in-dallas-on-april-24-2026,405195,1
2026-04-24,KHOU,houston,F,76°F or higher,highest-temperature-in-houston-on-april-24-2026,405219,1
2026-04-24,KLAX,los-angeles,F,72-73°F,highest-temperature-in-los-angeles-on-april-24-2026,405220,1
2026-04-24,KMIA,miami,F,82-83°F,highest-temperature-in-miami-on-april-24-2026,405197,1
2026-04-24,KSFO,san-francisco,F,62-63°F,highest-temperature-in-san-francisco-on-april-24-2026,405221,1
2026-04-24,LTAC,ankara,C,14°C,highest-temperature-in-ankara-on-april-24-2026,405199,1
2026-04-24,MMMX,mexico-city,C,21°C or higher,highest-temperature-in-mexico-city-on-april-24-2026,405224,1
2026-04-24,NZWN,wellington,C,14°C,highest-temperature-in-wellington-on-april-24-2026,405200,1
2026-04-24,SAEZ,buenos-aires,C,24°C,highest-temperature-in-buenos-aires-on-april-24-2026,405190,1
2026-04-24,SBGR,sao-paulo,C,29°C,highest-temperature-in-sao-paulo-on-april-24-2026,405189,1
2026-04-24,WMKK,kuala-lumpur,C,35°C,highest-temperature-in-kuala-lumpur-on-april-24-2026,405229,1
2026-04-24,WSSS,singapore,C,33°C,highest-temperature-in-singapore-on-april-24-2026,405207,1
2026-04-24,ZGSZ,shenzhen,C,21°C,highest-temperature-in-shenzhen-on-april-24-2026,405216,1
2026-04-25,CYYZ,toronto,C,10°C,highest-temperature-in-toronto-on-april-25-2026,408579,1
2026-04-25,EFHK,helsinki,C,9°C,highest-temperature-in-helsinki-on-april-25-2026,408614,1
2026-04-25,KATL,atlanta,F,74-75°F,highest-temperature-in-atlanta-on-april-25-2026,408583,1
2026-04-25,KAUS,austin,F,82°F or higher,highest-temperature-in-austin-on-april-25-2026,408604,1
2026-04-25,KDAL,dallas,F,84°F or higher,highest-temperature-in-dallas-on-april-25-2026,408582,1
2026-04-25,KHOU,houston,F,82°F or higher,highest-temperature-in-houston-on-april-25-2026,408606,1
2026-04-25,KLAX,los-angeles,F,64-65°F,highest-temperature-in-los-angeles-on-april-25-2026,408607,1
2026-04-25,KMIA,miami,F,84-85°F,highest-temperature-in-miami-on-april-25-2026,408584,1
2026-04-25,KSFO,san-francisco,F,58-59°F,highest-temperature-in-san-francisco-on-april-25-2026,408608,1
2026-04-25,LTAC,ankara,C,18°C,highest-temperature-in-ankara-on-april-25-2026,408586,1
2026-04-25,MMMX,mexico-city,C,20°C or higher,highest-temperature-in-mexico-city-on-april-25-2026,408611,1
2026-04-25,NZWN,wellington,C,16°C,highest-temperature-in-wellington-on-april-25-2026,408587,1
2026-04-25,SAEZ,buenos-aires,C,24°C,highest-temperature-in-buenos-aires-on-april-25-2026,408577,1
2026-04-25,SBGR,sao-paulo,C,29°C,highest-temperature-in-sao-paulo-on-april-25-2026,408576,1
2026-04-25,WMKK,kuala-lumpur,C,36°C,highest-temperature-in-kuala-lumpur-on-april-25-2026,408616,1
2026-04-25,WSSS,singapore,C,34°C,highest-temperature-in-singapore-on-april-25-2026,408594,1
2026-04-25,ZGSZ,shenzhen,C,27°C,highest-temperature-in-shenzhen-on-april-25-2026,408603,1
2026-04-26,CYYZ,toronto,C,14°C,highest-temperature-in-toronto-on-april-26-2026,411977,1
2026-04-26,EFHK,helsinki,C,7°C,highest-temperature-in-helsinki-on-april-26-2026,412012,1
2026-04-26,KATL,atlanta,F,82-83°F,highest-temperature-in-atlanta-on-april-26-2026,411981,1
2026-04-26,KAUS,austin,F,86°F or higher,highest-temperature-in-austin-on-april-26-2026,412002,1
2026-04-26,KDAL,dallas,F,84-85°F,highest-temperature-in-dallas-on-april-26-2026,411980,1
2026-04-26,KHOU,houston,F,84°F or higher,highest-temperature-in-houston-on-april-26-2026,412004,1
2026-04-26,KLAX,los-angeles,F,66-67°F,highest-temperature-in-los-angeles-on-april-26-2026,412005,1
2026-04-26,KMIA,miami,F,86-87°F,highest-temperature-in-miami-on-april-26-2026,411982,1
2026-04-26,KSFO,san-francisco,F,62-63°F,highest-temperature-in-san-francisco-on-april-26-2026,412006,1
2026-04-26,LTAC,ankara,C,21°C,highest-temperature-in-ankara-on-april-26-2026,411984,1
2026-04-26,MMMX,mexico-city,C,26°C or higher,highest-temperature-in-mexico-city-on-april-26-2026,412009,1
2026-04-26,NZWN,wellington,C,17°C,highest-temperature-in-wellington-on-april-26-2026,411985,1
2026-04-26,SAEZ,buenos-aires,C,17°C,highest-temperature-in-buenos-aires-on-april-26-2026,411975,1
2026-04-26,SBGR,sao-paulo,C,31°C,highest-temperature-in-sao-paulo-on-april-26-2026,411974,1
2026-04-26,WMKK,kuala-lumpur,C,36°C,highest-temperature-in-kuala-lumpur-on-april-26-2026,412014,1
2026-04-26,WSSS,singapore,C,32°C,highest-temperature-in-singapore-on-april-26-2026,411992,1
2026-04-26,ZGSZ,shenzhen,C,28°C,highest-temperature-in-shenzhen-on-april-26-2026,412001,1
2026-04-27,CYYZ,toronto,C,18°C,highest-temperature-in-toronto-on-april-27-2026,415450,1
2026-04-27,EFHK,helsinki,C,10°C,highest-temperature-in-helsinki-on-april-27-2026,415485,1
2026-04-27,KATL,atlanta,F,74-75°F,highest-temperature-in-atlanta-on-april-27-2026,415454,1
2026-04-27,KAUS,austin,F,88-89°F,highest-temperature-in-austin-on-april-27-2026,415475,1
2026-04-27,KDAL,dallas,F,88°F or higher,highest-temperature-in-dallas-on-april-27-2026,415453,1
2026-04-27,KHOU,houston,F,86°F or higher,highest-temperature-in-houston-on-april-27-2026,415477,1
2026-04-27,KLAX,los-angeles,F,66-67°F,highest-temperature-in-los-angeles-on-april-27-2026,415478,1
2026-04-27,KMIA,miami,F,86-87°F,highest-temperature-in-miami-on-april-27-2026,415455,1
2026-04-27,KSFO,san-francisco,F,62-63°F,highest-temperature-in-san-francisco-on-april-27-2026,415479,1
2026-04-27,LTAC,ankara,C,20°C,highest-temperature-in-ankara-on-april-27-2026,415457,1
2026-04-27,MMMX,mexico-city,C,23°C or higher,highest-temperature-in-mexico-city-on-april-27-2026,415482,1
2026-04-27,NZWN,wellington,C,16°C,highest-temperature-in-wellington-on-april-27-2026,415458,1
2026-04-27,SAEZ,buenos-aires,C,17°C,highest-temperature-in-buenos-aires-on-april-27-2026,415448,1
2026-04-27,SBGR,sao-paulo,C,29°C,highest-temperature-in-sao-paulo-on-april-27-2026,415447,1
2026-04-27,WMKK,kuala-lumpur,C,35°C,highest-temperature-in-kuala-lumpur-on-april-27-2026,415487,1
2026-04-27,WSSS,singapore,C,31°C,highest-temperature-in-singapore-on-april-27-2026,415465,1
2026-04-27,ZGSZ,shenzhen,C,29°C,highest-temperature-in-shenzhen-on-april-27-2026,415474,1
2026-04-28,CYYZ,toronto,C,17°C,highest-temperature-in-toronto-on-april-28-2026,418825,1
2026-04-28,EFHK,helsinki,C,6°C,highest-temperature-in-helsinki-on-april-28-2026,418860,1
2026-04-28,KATL,atlanta,F,71°F or below,highest-temperature-in-atlanta-on-april-28-2026,418829,1
2026-04-28,KAUS,austin,F,88-89°F,highest-temperature-in-austin-on-april-28-2026,418850,1
2026-04-28,KDAL,dallas,F,82-83°F,highest-temperature-in-dallas-on-april-28-2026,418828,1
2026-04-28,KHOU,houston,F,86°F or higher,highest-temperature-in-houston-on-april-28-2026,418852,1
2026-04-28,KLAX,los-angeles,F,68-69°F,highest-temperature-in-los-angeles-on-april-28-2026,418853,1
2026-04-28,KMIA,miami,F,84-85°F,highest-temperature-in-miami-on-april-28-2026,418830,1
2026-04-28,KSFO,san-francisco,F,66°F or higher,highest-temperature-in-san-francisco-on-april-28-2026,418854,1
2026-04-28,LTAC,ankara,C,20°C,highest-temperature-in-ankara-on-april-28-2026,418832,1
